ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID	FORM	ALIGNMENT
821	Syriac	lamb	ˀemmrā	ʔ e m m r aː	(LSyr. 26, SL 57)	363	ʔemmraː	^ ʔ e m m r aː $
822	Arabic	lamb	ˀa/immar-	ʔ a	(BK 1 54, Lane 97)	363	ʔa	^ ʔ a $
823	PS	kind of bird	*ˀanap-at-	ʔ a n a p a t	(SED II No. 6)	365	ʔanap-at-	^ ʔ a n a p - a t - $
824	Akkadian	a bird	anpatu	a n p a t u	(CAD A₂ 143, AHw. 54)	365	anpatu	^ a n p a t u $
825	Hebrew	kind of bird (plover or cormorant)	ˀănāpā	ʔ ă n aː p aː	(HALOT 72)	365	ʔănaːpaː	^ ʔ ă n aː p aː $
826	Syriac	a bird; large vulture, eagle	ˀanpā	ʔ a n p aː	(LSyr. 30, SL 64)	365	ʔanpaː	^ ʔ a n p aː $
827	PS	a small predatory mammal	*ˀVnar-, *ˀVran-	ʔ n a r	(SED II No. 8)	366	ʔ-nar-	^ ʔ - n a r - $
828	Akkadian	young dog, puppy; cub of a wild animal	mīrānu	m iː r aː n u	(CAD M₂ 105, AHw. 658)	366	miːraːnu	^ m iː r aː n u $
829	Ugaritic	dog, cur	ˀinr	ʔ i n r	(DUL 83)	366	ʔinr	^ ʔ i n r $
830	Ugaritic	puppy, puppydog	ˀirn	ʔ i r n	(DUL 104, differently Watson 2007: 78)	366	ʔirn	^ ʔ i r n $
831	Arabic	mordre, saisir avec les dents (to bite, to grasp with teeth)	ˀrn	ʔ r n	(BK 1 27)	366	ʔrn	^ ʔ r n $
832	Arabic	repaire d'une bête feroce (lair of a ferocious beast)	ˀirān-, miˀrān-	ʔ i r aː n	(BK 1 27)	366	ʔiraːn-	^ ʔ i r aː n - $
833	Arabic	chat	hārūn-	h aː r uː n	(Dozy II 752)	366	haːruːn-	^ h aː r uː n - $
834	PS	kind of wild cat	*ˀa(n)z/ḏar-	ʔ a z	(SED II No. 9)	367	ʔaz	^ ʔ a z $
835	Akkadian	lynx	azaru	a z a r u	(CAD A₂ 527, AHw. 92)	367	azaru	^ a z a r u $
836	Arabic	chat	ˀazram-	ʔ a z r a m	(BK 1 988, Lane 1228)	367	ʔazram-	^ ʔ a z r a m - $
837	Geez	wild cat	ˀanzar	ʔ a n z a r	(LGz. 34, Gr. 436)	367	ʔanzar	^ ʔ a n z a r $
838	PS	kind of snake (viper?)	*ˀapˁaw-	ʔ a p ʕ a w	(SED II No. 10, DRS 29)	368	ʔapʕaw-	^ ʔ a p ʕ a w - $
839	Ugaritic	viper	ˀapˁ	ʔ a p ʕ	(DUL 89)	368	ʔapʕ	^ ʔ a p ʕ $
840	Hebrew	a snake	ˀäpˁǟ	ʔ æ p ʕ æː	(HALOT 79)	368	ʔæpʕæː	^ ʔ æ p ʕ æː $
841	Arabic	vipère (viper)	ˀafˁan-	ʔ a f ʕ a n	(BK 2 616, Lane 2421)	368	ʔafʕan-	^ ʔ a f ʕ a n - $
842	Geez	adder, viper	ˀafˁot	ʔ a f ʕ o t	(LGz. 9, LLA 1377, Gr. 253)	368	ʔafʕot	^ ʔ a f ʕ o t $
843	PS	locust	*ˀa/irbay-	ʔ a	(SED II No. 11, Fron. V 296, DRS 31; Kogan 2011: 213)	369	ʔa	^ ʔ a $
844	Akkadian	locust	erbû	e r b û	(CAD E 256, AHw. 234)	369	erbû	^ e r b û $
845	Ugaritic	locust	ˀirby	ʔ i r b y	(DUL 100)	369	ʔirby	^ ʔ i r b y $
846	Hebrew	migratory locust	ˀarbǟ	ʔ a r b æː	(HALOT 83)	369	ʔarbæː	^ ʔ a r b æː $
847	Syriac	crab	ˀarbitā	ʔ a r b i t aː	(LSyr. 45, SL 94)	369	ʔarbitaː	^ ʔ a r b i t aː $
848	Arabic	locusta marina	ˀirbiyān-	ʔ i r b i y aː n	(BW 17, Lane 1024)	369	ʔirbiyaːn-	^ ʔ i r b i y aː n - $
849	PS	cow, heifer	*ˀarḫ-	ʔ a r x	(SED II No. 12, Fron. VI 30, DRS 32)	370	ʔarx-	^ ʔ a r x - $
850	Akkadian	cow	arḫu	a r x u	(CAD A₂ 263, AHw. 67)	370	arxu	^ a r x u $
851	Ugaritic	cow, heifer	ˀarḫ	ʔ a r x	(DUL 102)	370	ʔarx	^ ʔ a r x $
852	Arabic	jeune taureau (young bull)	ˀirḫ-	ʔ i r x	(BK 1 23)	370	ʔirx-	^ ʔ i r x - $
853	Arabic	antilope	ˀirāḫ-	ʔ i r aː x	(Fr. I 25, TA 7 226)	370	ʔiraːx-	^ ʔ i r aː x - $
854	Arabic	génisse (heifer)	ˀirḫat-	ʔ i r x a t	(BK 1 24)	370	ʔirxat-	^ ʔ i r x a t - $
855	PS	wild goat	*ˀarm-, *ˀarn-	ʔ a r m	(SED II No. 13, DRS 33)	371	ʔarm-	^ ʔ a r m - $
856	Akkadian	buck (of gazelle or mountain goat)	armu	a r m u	(CAD A₂ 293, AHw. 69)	371	armu	^ a r m u $
857	Syriac	mountain goat	ˀarnā	ʔ a r n aː	(LSyr. 50, SL 103)	371	ʔarnaː	^ ʔ a r n aː $
858	Geez	kind of antelope	ˀornā	ʔ o r n aː	(LGz. 38, cf. LLA 1396)	371	ʔornaː	^ ʔ o r n aː $
859	PS	hare	*ˀarnab(-at)-	ʔ a r n a b	(SED II No. 14, Fron. V 294, DRS 33)	372	ʔarnab-	^ ʔ a r n a b - $
860	Akkadian	hare	arnabu	a r n a b u	(CAD A₂ 294, AHw. 70)	372	arnabu	^ a r n a b u $
861	Hebrew	hare	ˀarnäbät	ʔ a r n æ b æ t	(HALOT 90)	372	ʔarnæbæt	^ ʔ a r n æ b æ t $
862	Syriac	rabbit	ˀarnbā	ʔ a r n b aː	(LSyr. 50, SL 103)	372	ʔarnbaː	^ ʔ a r n b aː $
863	Arabic	hare, rabbit	ˀarnab-	ʔ a r n a b	(BK 1 27, Lane 1164)	372	ʔarnab-	^ ʔ a r n a b - $
864	Geez	hare	ˀarnab-	ʔ a r n a b	(CDG 38)	372	ʔarnab-	^ ʔ a r n a b - $
865	Geez	hare	ḳarnab	qˤ a r n a b	(LGz. 442)	372	qˤarnab	^ qˤ a r n a b $
866	PS	kind of bird	*ˀarVr-	ʔ a r r	(SED II No. 15)	373	ʔar-r-	^ ʔ a r - r - $
867	Akkadian	bird used for decoy	arru	a r r u	(CAD A₂ 305, AHw. 71)	373	arru	^ a r r u $
868	Syriac	decoy bird	ˀarrā	ʔ a r r aː	(LSyr. 45, SL 93)	373	ʔarraː	^ ʔ a r r aː $
869	Syriac	beeeater	warwārā	w a r w aː r aː	(LSyr. 186, SL 360)	373	warwaːraː	^ w a r w aː r aː $
870	Arabic	guépier (oiseau) (beetree (bird)	warwār-	w a r w aː r	(BK 2 1526)	373	warwaːr-	^ w a r w aː r - $
871	PS	pinion, wing	*ˀa/ibr-	ʔ a	(SED I No. 1)	375	ʔa	^ ʔ a $
872	Akkadian	wing, fin	abru	a b r u	(CAD A₁ 64, AHw. 7)	375	abru	^ a b r u $
873	Ugaritic	wing	ˀibr	ʔ i b r	(DUL 12)	375	ʔibr	^ ʔ i b r $
874	Hebrew	pinion	ˀäbrā, ˀēbär	ʔ æ b r aː	(HALOT 9)	375	ʔæbraː	^ ʔ æ b r aː $
875	Syriac	feather; limb	ˀebrā	ʔ e b r aː	(LSyr. 3, SL 5)	375	ʔebraː	^ ʔ e b r aː $
876	PS	bone of leg/arm; limb	*ˀi(-)bVr-at-	ʔ i b r a t	(SED I No. 3)	377	ʔib-r-at-	^ ʔ i b - r - a t - $
877	Akkadian	radius and ulna (the two bones of the human forearm)	ibrētu	i b r eː t u	(CAD I 5, AHw. 363)	377	ibreːtu	^ i b r eː t u $
878	Hebrew	limb, part	ˀēbär	ʔ eː b æ r	(Jastrow 9)	377	ʔeːbær	^ ʔ eː b æ r $
879	PS	forest, wood	*ḳayŝ-	qˤ a y ɬ	(Fronzaroli 1969a: 277, 290; Kogan 2011: 200; Kogan 2012: 230)	378	qˤayɬ-	^ qˤ a y ɬ - $
880	Akkadian	forest, wood	ḳīštu	qˤ iː ʃ t u	(CAD Q 272, AHw. 923)	378	qˤiːʃtu	^ qˤ iː ʃ t u $
881	Syriac	wood, timber	ḳaysā	qˤ a y s aː	(LSyr. 665, SL 1364)	378	qˤaysaː	^ qˤ a y s aː $
882	PS	grass, herb	*šamm-	ʃ a m m	( Fronzaroli 1969a: 274, 289)	379	ʃamm-	^ ʃ a m m - $
883	Akkadian	grass, herb	šammu	ʃ a m m u	(CAD Š₁ 315, AHw. 1156)	379	ʃammu	^ ʃ a m m u $
884	PS	grass; herb; spring	*daṯˀ-	d a θ ʔ	(Fronzaroli 1965a: 142, 148, 150, Fronzaroli 1968: 275; Fronzaroli 1969a: 275, 289, 299; Kogan 2011: 200; Kogan 2012: 231)	380	daθʔ-	^ d a θ ʔ - $
885	Akkadian	growth, spring; grass	dīšu	d iː ʃ u	(CAD D 163, AHw. 173)	380	diːʃu	^ d iː ʃ u $
886	Hebrew	grass, herb	däšäˀ	d æ ʃ æ ʔ	(HALOT 233)	380	dæʃæʔ	^ d æ ʃ æ ʔ $
887	Syriac	grass, herb	tadˀā	t a d ʔ aː	(LSyr. 816, SL 1624)	380	tadʔaː	^ t a d ʔ aː $
888	Arabic	spring rain	daṯaˀiyy-	d a θ a ʔ i y y	(Dozy I 424)	380	daθaʔiyy-	^ d a θ a ʔ i y y - $
889	PS	(wild) goat gazelle	*ˀarwiy-	ʔ a r w i y	(SED II No. 18, Dolgopolsky 2004: 417)	382	ʔarwiy-	^ ʔ a r w i y - $
890	Akkadian	gazelle	arwû	a r w û	(CAD A₂ 294, AHw. 73)	382	arwû	^ a r w û $
891	Arabic	(pl. ˀarāwiyy, ˀarwā) mountaingoat	ˀurwiyyat-	ʔ u r w i y y a t	(BK 1 959, Lane 1196)	382	ʔurwiyyat-	^ ʔ u r w i y y a t - $
892	PS	a mythical reptile, dragon	*ˀaṯ(h)al-	ʔ a θ a l	(SED II No. 20)	383	ʔaθal-	^ ʔ a θ a l - $
893	Syriac	dragon; a star which covers the sun making an eclipse; lunar eclipse	ˀātalyā	ʔ aː t a l y aː	(LSyr. 55, SL 111)	383	ʔaːtalyaː	^ ʔ aː t a l y aː $
894	Geez	serpentidol of bronze; field snake	nestāli (nesātāli, nǝstāle)	n e s t aː l i	(CDG 403, Gr. 214)	383	nestaːli	^ n e s t aː l i $
895	PS	donkey mare	*ˀatān-	ʔ a t aː n	(SED II No. 19, Fron. VI 31, DRS 36)	384	ʔataːn-	^ ʔ a t aː n - $
896	Akkadian	mare; sheass, donkey mare	atānu	a t aː n u	(CAD A₂ 481, AHw. 86)	384	ataːnu	^ a t aː n u $
897	Ugaritic	donkey, sheass	ˀatnt (pl.)	ʔ a t n t	(DUL 122)	384	ʔatnt	^ ʔ a t n t $
898	Hebrew	sheass	ˀātōn	ʔ aː t oː n	(HALOT 102)	384	ʔaːtoːn	^ ʔ aː t oː n $
899	Syriac	sheass; ass	ˀattānā	ʔ a t t aː n aː	(LSyr. 55, SL 112)	384	ʔattaːnaː	^ ʔ a t t aː n aː $
900	Arabic	sheass, domestic or wild	ˀitān-	ʔ i t aː n	(BK 1:8, Lane 14)	384	ʔitaːn-	^ ʔ i t aː n - $
901	PS	elbow, forearm	*ˀamm-at-	ʔ a m m a t	(SED I No. 6)	386	ʔamm-at-	^ ʔ a m m - a t - $
902	Akkadian	forearm; cubit	ammatu	a m m a t u	(CAD A₂ 70, AHw. 44)	386	ammatu	^ a m m a t u $
903	Ugaritic	elbow, forearm	ˀamt	ʔ a m t	(DUL 71)	386	ʔamt	^ ʔ a m t $
904	Hebrew	cubit	ˀammā	ʔ a m m aː	(HALOT 61)	386	ʔammaː	^ ʔ a m m aː $
905	Syriac	cubit	ˀammətā	ʔ a m m ə t aː	(LSyr. 24, SL 58)	386	ʔammətaː	^ ʔ a m m ə t aː $
906	Geez	cubit, forearm	ˀəmat	ʔ ə m a t	(CDG 26)	386	ʔəmat	^ ʔ ə m a t $
907	PS	chest, breast	*ˀir(r)-at-	ʔ i r a t	(SED I No. 9)	389	ʔir-at-	^ ʔ i r - a t - $
908	Akkadian	chest, breast	irtu	i r t u	(CAD I 183, AHw. 386)	389	irtu	^ i r t u $
909	Ugaritic	breast	ˀirt	ʔ i r t	(DUL 110)	389	ʔirt	^ ʔ i r t $
910	PS	testiculus	*ˀi/ušk(-at)-	ʔ i	(SED I No. 11)	391	ʔi	^ ʔ i $
911	Akkadian	testiculus	išku	i ʃ k u	(CAD I 250, AHw. 396)	391	iʃku	^ i ʃ k u $
912	Ugaritic	testiculus	ˀušk	ʔ u ʃ k	(DLU 56)	391	ʔuʃk	^ ʔ u ʃ k $
913	Hebrew	testiculus	ˀäšäk, pB. ˀōšäk	ʔ æ ʃ æ k	(HALOT 95)	391	ʔæʃæk	^ ʔ æ ʃ æ k $
914	Syriac	testicle	ˀeškətā	ʔ e ʃ k ə t aː	(LSyr. 52, SL 107)	391	ʔeʃkətaː	^ ʔ e ʃ k ə t aː $
915	Arabic	lèvre du vagin de la femme (woman's vagina lip)	ˀiskat-	ʔ i s k a t	(BK 1 33)	391	ʔiskat-	^ ʔ i s k a t - $
916	Geez	testicle, genitalia of man and woman	ˀəskit	ʔ ə s k i t	(CDG 43)	391	ʔəskit	^ ʔ ə s k i t $
917	PS	(lock/tuft of) hair, curl, fleece	*ˁidḳ-	ʕ i d qˤ	(SED I No. 12)	392	ʕidqˤ-	^ ʕ i d qˤ - $
918	Akkadian	fleece; lock of hair, wad or tuft of wool	itḳu	i t qˤ u	(CAD I 299, AHw. 404)	392	itqˤu	^ i t qˤ u $
919	Syriac	(pl. ˁedḳē; ˁetḳē) lock of hair; fringes	ˁedḳətā	ʕ e d qˤ ə t aː	(LSyr. 513, SL 1073)	392	ʕedqˤətaː	^ ʕ e d qˤ ə t aː $
920	Arabic	a piece of colored wool that is hung around the neck of an animal to recognize it	ˁaḏqat-, ˁiḏqat-	ʕ a ð q a t	(BK 2 203, Lane 1988)	392	ʕaðqat-	^ ʕ a ð q a t - $
921	PS	heel	*ˁaḳib-, *ˁiḳb-	ʕ a qˤ i b	(SED I No. 14)	394	ʕaqˤib-	^ ʕ a qˤ i b - $
922	Akkadian	heel	eḳbu	e qˤ b u	(CAD E 248, AHw. 231)	394	eqˤbu	^ e qˤ b u $
923	Ugaritic	hock, heel	ˁḳb	ʕ qˤ b	(DUL 173)	394	ʕqˤb	^ ʕ qˤ b $
924	Ugaritic	(basic stem) to accept or perform a property transfer, to succeed, to effect an exchange of goods; (intensive stem) to place obstacles, traps, to oppose	ˁḳb	ʕ qˤ b	(DUL 176)	394	ʕqˤb	^ ʕ qˤ b $
925	Hebrew	heel	ˁāḳēb	ʕ aː qˤ eː b	(HALOT 872)	394	ʕaːqˤeːb	^ ʕ aː qˤ eː b $
926	Hebrew	the very back, the end; result, wages	ˁēḳäb	ʕ eː qˤ æ b	(HALOT 873)	394	ʕeːqˤæb	^ ʕ eː qˤ æ b $
927	Syriac	heel; hoof	ˁeḳbā	ʕ e qˤ b aː	(LSyr. 541, SL 1128)	394	ʕeqˤbaː	^ ʕ e qˤ b aː $
928	Arabic	to come after somebody, to follow, to succeed	ˁqb	ʕ q b	(Lane 2097)	394	ʕqb	^ ʕ q b $
929	Arabic	heel	ˁaqib-	ʕ a q i b	(Lane 2100)	394	ʕaqib-	^ ʕ a q i b - $
930	Geez	to guard, to watch, to keep safe	ˁaḳaba	ʕ a qˤ a b a	(CDG 66)	394	ʕaqˤaba	^ ʕ a qˤ a b a $
931	PS	ear of corn	*šu(n)bul-at-	ʃ u b u l a t	(Fronzaroli 1969b: 12, 27, 34; Kogan 2011: 201; Kogan 2012: 233)	398	ʃubul-at-	^ ʃ u b u l - a t - $
932	Akkadian	ear, spike	šubultu	ʃ u b u l t u	(CAD Š₃ 187, AHw. 1258)	398	ʃubultu	^ ʃ u b u l t u $
933	Ugaritic	ear, spike (of corn)	šblt	ʃ b l t	(DUL 805)	398	ʃblt	^ ʃ b l t $
934	Hebrew	ear of corn	šibbōlät	ʃ i b b oː l æ t	(HALOT 1394)	398	ʃibboːlæt	^ ʃ i b b oː l æ t $
935	Syriac	ear; spike of corn	šeblā	ʃ e b l aː	(LSyr. 752, SL 1504)	398	ʃeblaː	^ ʃ e b l aː $
936	Arabic	ear of corn	sabalat-, sunbulat-	s a b a l a t	(Lane 1440)	398	sabalat-	^ s a b a l a t - $
937	Geez	ear of corn, grain	sabl	s a b l	(CDG 484)	398	sabl	^ s a b l $
938	PS	straw	*tibn-	t i b n	(Fronzaroli 1969b: 12, 27, 34; Kogan 2011: 201)	399	tibn-	^ t i b n - $
939	Akkadian	straw	tibnu	t i b n u	(CAD T 380, AHw. 1354)	399	tibnu	^ t i b n u $
940	Hebrew	straw	täbän	t æ b æ n	(HALOT 1685)	399	tæbæn	^ t æ b æ n $
941	Syriac	straw	tebnā	t e b n aː	(LSyr. 814, SL 1620)	399	tebnaː	^ t e b n aː $
942	Arabic	straw	tabn-, tibn-	t a b n	(Lane 297)	399	tabn-	^ t a b n - $
943	PS	thistle	*dardar-	d a r d a r	(Fronzaroli 1969a: 276, 289, 299; Kogan 2011: 201; Kogan 2012: 234)	400	dardar-	^ d a r d a r - $
944	Akkadian	an illsmelling, thorny plant	daddaru	d a d d a r u	(CAD D 17, AHw. 148)	400	daddaru	^ d a d d a r u $
945	Hebrew	thistle	dardar	d a r d a r	(HALOT 230)	400	dardar	^ d a r d a r $
946	Syriac	red starthistle	dardrā	d a r d r aː	(LSyr. 166, SL 321)	400	dardraː	^ d a r d r aː $
947	Arabic	elm	dardār-	d a r d aː r	(Lane 864)	400	dardaːr-	^ d a r d aː r - $
948	Arabic	thistle	durdurin	d u r d u r i n	(Behnstedt 369)	400	durdurin	^ d u r d u r i n $
949	Geez	thistle	dader	d a d e r	(CDG 136)	400	dader	^ d a d e r $
950	Geez	thistle	dandar	d a n d a r	(CDG 123)	400	dandar	^ d a n d a r $
951	PS	rush	*ˀašal-	ʔ a ʃ a l	(Fronzaroli 1969a: 276, 289, 299; Kogan 2014: 235)	401	ʔaʃal-	^ ʔ a ʃ a l - $
952	Akkadian	rush	ašlu	a ʃ l u	(CAD A₂ 449, AHw. 81)	401	aʃlu	^ a ʃ l u $
953	Arabic	rush	ˀasal-	ʔ a s a l	(Lane 59)	401	ʔasal-	^ ʔ a s a l - $
954	PS	reed, cane	*ḳanay-	qˤ a n a y	(Fronzaroli 1969a, pp. 276, 290, 299)	402	qˤanay-	^ qˤ a n a y - $
955	Akkadian	reed, cane	ḳanû	qˤ a n û	(CAD Q 85, AHw. 898)	402	qˤanû	^ qˤ a n û $
956	Ugaritic	reed, cane	ḳn	qˤ n	(DUL 704)	402	qˤn	^ qˤ n $
957	Hebrew	reed, cane	ḳānǟ	qˤ aː n æː	(HALOT 1113)	402	qˤaːnæː	^ qˤ aː n æː $
958	Syriac	reed, cane	ḳanyā	qˤ a n y aː	(LSyr. 677, SL 1383)	402	qˤanyaː	^ qˤ a n y aː $
959	Arabic	reed, cane	qanāt-	q a n aː t	(Lane 2994)	402	qanaːt-	^ q a n aː t - $
960	PS	tamarisk	*ˀaṯl- (*ˀiṯl-)	ʔ a θ l	(Kogan 2012: 235, n. 24)	404	ʔaθl-	^ ʔ a θ l - $
961	Hebrew	tamarisk	ˀēšäl	ʔ eː ʃ æ l	(HALOT 95)	404	ʔeːʃæl	^ ʔ eː ʃ æ l $
962	Arabic	tamarisk	ˀaṯl-	ʔ a θ l	(Lane 21)	404	ʔaθl-	^ ʔ a θ l - $
963	PS	(a plant)	*ḥVlp(-at)-	ħ l p	(Fronzaroli 1969a, pp. 276, 289, 299; Kogan 2012: 236)	405	ħ-lp-	^ ħ - l p - $
964	Akkadian	rush	elpetu	e l p e t u	(CAD E 108, AHw. 205)	405	elpetu	^ e l p e t u $
965	Arabic	alfa	ḥalaf-	ħ a l a f	(Lane 627)	405	ħalaf-	^ ħ a l a f - $
966	PS	type of a wild pumpkin; colocynth	*pVḳVˁ-	p qˤ ʕ	(Kogan 2011: 201; Kogan 2012: 236)	406	p-qˤ-ʕ-	^ p - qˤ - ʕ - $
967	Akkadian	colocynth	peḳû	p e qˤ û	(CAD P 326, AHw. 854)	406	peqˤû	^ p e qˤ û $
968	Akkadian	colocynth	peḳḳû	p e qˤ qˤ û	(CAD P 326, AHw 854)	406	peqˤqˤû	^ p e qˤ qˤ û $
969	Hebrew	colocynth	paḳḳūˁā	p a qˤ qˤ uː ʕ aː	(HALOT 960)	406	paqˤqˤuːʕaː	^ p a qˤ qˤ uː ʕ aː $
970	Syriac	colocynth	paḳḳuˁā	p a qˤ qˤ u ʕ aː	(LSyr. 590, SL 1223)	406	paqˤqˤuʕaː	^ p a qˤ qˤ u ʕ aː $
971	Arabic	colocynth (type of a wild pumpkin)	fuqqāˁ	f u q q aː ʕ	(Lane 2428)	406	fuqqaːʕ	^ f u q q aː ʕ $
972	PS	(type of a tree)	*bay(a)n-	b a y n	(Kogan 2012: 238)	407	bayn-	^ b a y n - $
973	Akkadian	tamarisk	bīnu	b iː n u	(CAD B 239, AHw. 127)	407	biːnu	^ b iː n u $
974	Arabic	moringa	bān-	b aː n	(Lane 278)	407	baːn-	^ b aː n - $
975	PS	(a thorny plant)	*ˀaṭad-	ʔ a tˤ a d	(Fronzaroli 1969a, pp. 278, 291, 300)	409	ʔatˤad-	^ ʔ a tˤ a d - $
976	Akkadian	boxthorn (lycium barbarum)	eṭṭettu	e tˤ tˤ e t t u	(CAD E 23, AHw. 266)	409	etˤtˤettu	^ e tˤ tˤ e t t u $
977	Hebrew	(a thorny plant)	ˀāṭād	ʔ aː tˤ aː d	(HALOT 37)	409	ʔaːtˤaːd	^ ʔ aː tˤ aː d $
978	Syriac	(a thorny plant)	ˀaṭādā	ʔ a tˤ aː d aː	(LSyr. 13, SL 30)	409	ʔatˤaːdaː	^ ʔ a tˤ aː d aː $
979	Arabic	thorny plant	ˀaṭad-	ʔ a tˤ a d	(LA 3 88)	409	ʔatˤad-	^ ʔ a tˤ a d - $
980	PS	willow	*ḫilāp-	x i l aː p	(Fronzaroli 1969a, pp. 278, 291, 300)	413	xilaːp-	^ x i l aː p - $
981	Akkadian	willow	ḫilēpu	x i l eː p u	(CAD Ḫ 185, AHw. 345)	413	xileːpu	^ x i l eː p u $
982	Syriac	willow	ḥellāpā	ħ e l l aː p aː	(LSyr. 235, SL 459)	413	ħellaːpaː	^ ħ e l l aː p aː $
983	Arabic	willow	ḫilāf-	x i l aː f	(Lane 797)	413	xilaːf-	^ x i l aː f - $
984	PS	(a big poplar)	*ˀayl(-ān)-	ʔ a y l	(Fronzaroli 1969a, pp. 277, 290, 300)	414	ʔayl-	^ ʔ a y l - $
985	Hebrew	a large tree; terebinth(?)	ˀēlā	ʔ eː l aː	(HALOT 40, 51–54)	414	ʔeːlaː	^ ʔ eː l aː $
986	Hebrew	mighty tree	ˀayil	ʔ a y i l	(HALOT 40)	414	ʔayil	^ ʔ a y i l $
987	PS	oak	*ˀall(-ān)-	ʔ a l l	(Fronzaroli 1969a, pp. 277, 290, 300)	415	ʔall-	^ ʔ a l l - $
988	Akkadian	oak	allānu	a l l aː n u	(CAD A₁ 354, AHw. 37)	415	allaːnu	^ a l l aː n u $
989	Hebrew	a large tree; oak(?)	ˀēlōn	ʔ eː l oː n	(HALOT 40, 51–54)	415	ʔeːloːn	^ ʔ eː l oː n $
990	Hebrew	oak	ˀallōn	ʔ a l l oː n	(HALOT 54)	415	ʔalloːn	^ ʔ a l l oː n $
991	Arabic	a kind of tree	ˀalāˀ-	ʔ a l aː ʔ	(LA 14 53)	415	ʔalaːʔ-	^ ʔ a l aː ʔ - $
992	PS	juniper	*burāṯ-	b u r aː θ	(Fronzaroli 1969a, pp. 278, 291, 300)	423	buraːθ-	^ b u r aː θ - $
993	Akkadian	juniper	burāšu	b u r aː ʃ u	(CAD B 326, AHw. 139)	423	buraːʃu	^ b u r aː ʃ u $
994	Hebrew	juniper	bərōš	b ə r oː ʃ	(HALOT 155)	423	bəroːʃ	^ b ə r oː ʃ $
995	Syriac	cypress	brātā	b r aː t aː	(LSyr. 98, SL 187)	423	braːtaː	^ b r aː t aː $
996	PS	(a plant)	*ˁarˁar-	ʕ a r ʕ a r	(Kogan 2012: 242–244)	424	ʕarʕar-	^ ʕ a r ʕ a r - $
997	Akkadian	cedar	erēnu	e r eː n u	(CAD E 274, AHw. 237)	424	ereːnu	^ e r eː n u $
998	Ugaritic	tamarisk	ˁrˁr	ʕ r ʕ r	(DUL 178; Pardee 1988: 215–216; Kogan 2012: 243)	424	ʕrʕr	^ ʕ r ʕ r $
999	Hebrew	juniper	ˁarˁār	ʕ a r ʕ aː r	(HALOT 887)	424	ʕarʕaːr	^ ʕ a r ʕ aː r $
1000	Syriac	tamarisk	ˁarrā	ʕ a r r aː	(LSyr. 544, SL 1141)	424	ʕarraː	^ ʕ a r r aː $
1001	Syriac	resin of tamarisk	ˁarˁūrā	ʕ a r ʕ uː r aː	(LSyr. 544, SL 1141)	424	ʕarʕuːraː	^ ʕ a r ʕ uː r aː $
1002	Arabic	juniper	ˁarˁar-	ʕ a r ʕ a r	(LA 4 644; Lane 1990)	424	ʕarʕar-	^ ʕ a r ʕ a r - $
1003	PS	to be deep	*ˁmḳ	ʕ m qˤ	(CDG 63)	429	ʕmqˤ	^ ʕ m qˤ $
1004	Ugaritic	valley	ˁmḳ	ʕ m qˤ	(DUL 165)	429	ʕmqˤ	^ ʕ m qˤ $
1005	Hebrew	to be deep	ˁmḳ	ʕ m qˤ	(HALOT 947)	429	ʕmqˤ	^ ʕ m qˤ $
1006	Syriac	to become deep; to be sunk down	ˁmḳ	ʕ m qˤ	(LSyr. 531, SL 1113)	429	ʕmqˤ	^ ʕ m qˤ $
1007	Arabic	to be deep	ˁmq	ʕ m q	(Lane 2157)	429	ʕmq	^ ʕ m q $
1008	Geez	to be deep	ˁamaḳa	ʕ a m a qˤ a	(CDG 63)	429	ʕamaqˤa	^ ʕ a m a qˤ a $
1009	PS	a cultivated plant, shoot, seed, grain, cereal, vegetable	*bVḳl-	b qˤ l	(Fronzaroli 1969b: 5, 24, 32; Kogan 2012: 245)	434	b-qˤl-	^ b - qˤ l - $
1010	Akkadian	malt	buḳlu	b u qˤ l u	(CAD B 323, AHw. 139)	434	buqˤlu	^ b u qˤ l u $
1011	Syriac	gardener	buḳḳālā	b u qˤ qˤ aː l aː	(LSyr. 87, SL 177)	434	buqˤqˤaːlaː	^ b u qˤ qˤ aː l aː $
1012	Arabic	plants that are neither trees, nor bushes; greens, vegetables, all plants that are gathered after being sown	baql-	b a q l	(Lane 236)	434	baql-	^ b a q l - $
1013	Geez	plant, grass, vegetation	baḳʷl	b a qʷˤ l	(CDG 101)	434	baqˤʷl	^ b a qˤʷ l $
1014	PS	wheat	*ḥinṭ-at-	ħ i n tˤ a t	(Fronzaroli 1969b: 12, 27, 34)	435	ħintˤ-at-	^ ħ i n tˤ - a t - $
1015	Akkadian	edible grain (wheat or barley)	uṭṭetu	u tˤ tˤ e t u	(CAD U–W 349, AHw. 1446)	435	utˤtˤetu	^ u tˤ tˤ e t u $
1016	Ugaritic	wheat	ḥṭt	ħ tˤ t	(DUL 377)	435	ħtˤt	^ ħ tˤ t $
1017	Hebrew	wheat	ḥiṭṭā	ħ i tˤ tˤ aː	(HALOT 307)	435	ħitˤtˤaː	^ ħ i tˤ tˤ aː $
1018	Syriac	wheat	ḥeṭṭətā	ħ e tˤ tˤ ə t aː	(LSyr. 227, SL 444)	435	ħetˤtˤətaː	^ ħ e tˤ tˤ ə t aː $
