NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_POS
2929	eggs of locust			
2930	nit, louse	1392	LOUSE	noun
2931	camel bug			
2932	worm	1219	WORM	noun
2933	worm, maggot	1219	WORM	noun
2934	red/purple colour	156	RED	adjective
2935	raupe, wurm (caterpillar, worm)	1219	WORM	noun
2936	worm, earthworm, maggot, caterpillar, insect, bug	1219	WORM	noun
2937	worm, serpent, snake	730	SNAKE	noun
2938	worm; caterpillar	1219	WORM	noun
2939	maggots, worms	1219	WORM	noun
2940	type of worm			
2941	decay and maggots in rotting matter			
2942	vermin, worms	1219	WORM	noun
2943	winged ant; old and decayed bones, a used rope			
2944	corpse, dead body	767	CORPSE	noun
2945	corpse	767	CORPSE	noun
2946	cadavere di uomo o di bestia (corpse of man or beast)	958	WILD ANIMAL	noun
2947	corpse, cadaver	767	CORPSE	noun
2948	body, stomach	1480	BODY	noun
2949	ventre			
2950	body, person	683	PERSON	noun
2951	big stomach of ruminants			
2952	femme			
2953	body, corpse as a funerary offering	1480	BODY	noun
2954	body (of living person); mortal remains, dead body	767	CORPSE	noun
2955	body, cadaver	1480	BODY	noun
2956	to commit adultery, fornication with a woman			
2957	pus	1808	PUS	noun
2958	body, flesh	1480	BODY	noun
2959	tendon, sinew	1137	TENDON	noun
2960	tendon	1137	TENDON	noun
2961	tendon, male organ, fiber	1137	TENDON	noun
2962	sinew; fiber of a root	1137	TENDON	noun
2963	nerve, sinew, tendon, muscle, membrum	1004	MUSCLE	noun
2964	tendon of leg			
2965	sinew, tendon; nerve	1137	TENDON	noun
2966	sinew, tendon	1137	TENDON	noun
2967	spine; tendon, sinew	1137	TENDON	noun
2968	sinew, nerve, muscle	1004	MUSCLE	noun
2969	tendine (tendon)			
2970	cord	1218	ROPE	noun
2971	the straight side of the stomach (opposite to curved side)			
2972	rope; bowstring; cord; beam	1218	ROPE	noun
2973	tendon; bowstring	1137	TENDON	noun
2974	bowstring	2119	BOW STRING	noun
2975	tendon; string, chord	1137	TENDON	noun
2976	sinew, cord	1137	TENDON	noun
2977	Achilles' tendon			
2978	nerve, sinew, gut, tendon	1137	TENDON	noun
2979	sciatic tendon			
2980	muscles; tendon	1137	TENDON	noun
2981	sciatic nerve (the central nerve of the hip region)			
2982	sciatic nerve			
2983	ischial tendon			
2984	to cut off the hind legs (of victims)			
2985	iliac bone; a sort of cartilage which extends from the tail joint to the tail			
2986	pelvic bone			
2987	joint of limb bones; flexion, bend of limbs			
2988	crooked arms			
2989	upper part of the thigh where the socket turns			
2990	elbow	981	ELBOW	noun
2991	to be flexed, folded up (limbs, fingers)	1303	FINGER	noun
2992	cubit, arm below the elbow			
2993	pelvis			
2994	articulation, joint, wrist	799	WRIST	noun
2995	sleeve	2953	SLEEVE	noun
2996	joint, articulation	999	JOINT	noun
2997	heel, elbow	981	ELBOW	noun
2998	to sit crosslegged			
2999	temple	911	TEMPLE	noun
3000	fats covering the skin or intestines	1991	INTESTINES	noun
3001	fat (covering the entrails, kidneys and liver, breast, etc.)	1402	BREAST	noun
3002	a viscous substance, glair			
3003	fat; membrane, diaphragm	323	FAT (ORGANIC SUBSTANCE)	noun
3004	diaphragm, midgriff			
3005	strong	785	STRONG	adjective
3006	fatty, fleshy tissue	2449	FAT (OF MEAT AND FOOD)	adjective
3007	fat, tallow	323	FAT (ORGANIC SUBSTANCE)	noun
3008	glutinous substance, pus	1808	PUS	noun
3009	fat, butter	323	FAT (ORGANIC SUBSTANCE)	noun
3010	piece of flesh peeled off from the bone			
3011	suet from the kidney			
3012	fat; dung, manure	323	FAT (ORGANIC SUBSTANCE)	noun
3013	a fat, plump boy; boy that has nearly attained to puberty	323	FAT (ORGANIC SUBSTANCE)	noun
3014	a piece of fleshmeat; a lump of dates compacted together			
3015	skin, leather	3326	LEATHER OR HIDE	noun
3016	leather pouch			
3017	peau ôtée récemment d'un agneau ou d'un chevreau (recently removed skin from a lamb or kid)	1972	YOUNG GOAT (KID)	noun
3018	buttocks	834	BUTTOCKS	noun
3019	back of body; clitoris, female genital organs	3257	CLITORIS	noun
3020	hide	2486	HIDE	verb
3021	scab, hide	2486	HIDE	verb
3022	skin; leather, hide	763	SKIN	noun
3023	leather	629	LEATHER	noun
3024	Haut			
3025	Haut, Fell, Leder (skin, fur, leather)	580	FUR	noun
3026	skin, hide	763	SKIN	noun
3027	hairless skin of animals			
3028	1. skin, hide; 2. body	2486	HIDE	verb
3029	bran; husk, shell; scale of head, dandruff	598	SHELL	noun
3030	fur, skin	763	SKIN	noun
3031	to shell, husk	2501	RICE HUSK	noun
3032	sheepskin coat			
3033	(loose) skin, dewlap	763	SKIN	noun
3034	hide (?)	2486	HIDE	verb
3035	husk, chaff	2363	CHAFF (HUSK)	noun
3036	fold (of skin, of fabric)	1470	FOLD	verb
3037	gizzard of bird			
3038	side of throat			
3039	dewlap			
3040	collar	2012	COLLAR	noun
3041	top of shoulder			
3042	shoulder	1482	SHOULDER	noun
3043	ring	1374	RING	noun
3044	neckchain(?)			
3045	neckchain			
3046	necklace	1961	NECKLACE	noun
3047	nooses, loops, holes (in a fishnet) (prob.)			
3048	to carry around the neck			
3049	specie di collana d'argento molto stretta (kind of very tight silver necklace)			
3050	the lowest part of the neck			
3051	shoulder, nape of the neck, back	1291	BACK	noun
3052	pearl necklace; dyed wool collar that hangs as an ornament on the camel's neck			
3053	to carry on shoulders			
3054	fardeau			
3055	portare, mettersi sulle spalle (to carry, put on shoulders)			
3056	to carry, to bear	700	CARRY	verb
3057	to carry on the back	465	CARRY ON BACK	verb
3058	palate	540	PALATE	noun
3059	throat(?)	1346	THROAT	noun
3060	throat, gullet, palate	1346	THROAT	noun
3061	throat, larynx	1346	THROAT	noun
3062	depression at the base of the neck directly below the Adam's apple			
3063	Adam's apple	802	ADAM'S APPLE	noun
3064	throat, gullet; windpipe, trachea	1346	THROAT	noun
3065	pharynx, neck	1333	NECK	noun
3066	throat, tonsils	1346	THROAT	noun
3067	goiter (goiter)	1957	GOITER	noun
3068	throat, trachea	1346	THROAT	noun
3069	throat, neck	1333	NECK	noun
3070	throat, palate	1346	THROAT	noun
3071	dewlap of an ox			
3072	anterior part of the neck of a camel			
3073	armpit	1886	ARMPIT	noun
3074	underarm, armpit	1886	ARMPIT	noun
3075	rib	801	RIB	noun
3076	rib, side (part of the human and the animal body); side (of an object)	801	RIB	noun
3077	side, rib	801	RIB	noun
3078	Rippe			
3079	to marry outside one’s tribe			
3080	to originate (from)			
3081	1. rib; 2. side			
3082	female breast	1402	BREAST	noun
3083	breast, teat	1402	BREAST	noun
3084	cervix (?)			
3085	nipple	796	NIPPLE	noun
3086	breast full of milk			
3087	udder, teat	154	UDDER	noun
3088	loins, thigh, groin	471	UPPER LEG (THIGH)	noun
3089	udder	154	UDDER	noun
3090	breast, bosom, chest, teat, udder	1402	BREAST	noun
3091	mother's breast			
3092	breast, bosom	1402	BREAST	noun
3093	breast (of an animal)	1402	BREAST	noun
3094	breast of an animal			
3095	fattail, rump, breast of an animal			
3096	craw of a bird			
3097	teat, breast	1402	BREAST	noun
3098	pap, breast	1402	BREAST	noun
3099	small teat			
3100	internal tumor; kind of chancre which appears on the backs of pack animals due to chafing of the loads			
3101	neck muscles			
3102	Brust			
3103	teat	796	NIPPLE	noun
3104	nipple; full breast	796	NIPPLE	noun
3105	voracious			
3106	having a big belly			
3107	to have a big belly			
3108	having a full stomach			
3109	lower belly, uterus, womb	804	WOMB	noun
3110	hypogastric region			
3111	lower belly			
3112	abdomen, omassum	1251	BELLY	noun
3113	uterus, womb, pubes	804	WOMB	noun
3114	pubes, abdomen (of men and women)	36	PUBIC HAIR	noun
3115	vulva, vagina	1837	VULVA	noun
3116	belly from the navel down			
3117	lower belly, pubes	36	PUBIC HAIR	noun
3118	navel; navel string	1838	NAVEL	noun
3119	navel	1838	NAVEL	noun
3120	umbilical cord	2663	UMBILICAL CORD	noun
3121	umbilical cord, navel	1838	NAVEL	noun
3122	on the back			
3123	a designation of Noah’s Ark			
3124	coda			
3125	hair at the end of an animal's tail			
3126	hair of tail, tail, flywhisk	1220	TAIL	noun
3127	queue			
3128	hump of an animal			
3129	lap, bosom	3263	LAP	noun
3130	to shelter, to receive in a friendly way	1678	HUT	noun
3131	protection			
3132	sash			
3133	fold of garment, bosom	1402	BREAST	noun
3134	bosom, part beneath the armpit	1402	BREAST	noun
3135	bosom, womb, lap, armpit; midst	1886	ARMPIT	noun
3136	lap	3263	LAP	noun
3137	breast, womb	1402	BREAST	noun
3138	thigh, lap (the leg between the knee and the groin)	471	UPPER LEG (THIGH)	noun
3139	waist	1681	WAIST	noun
3140	back of body, thigh, hip	471	UPPER LEG (THIGH)	noun
3141	back, loin, hip	1291	BACK	noun
3142	bosom, lap	3263	LAP	noun
3143	lap, loin, hips	3263	LAP	noun
3144	lap, bossom	3263	LAP	noun
3145	waist, flank, the place where the waistwrapper is bound	1681	WAIST	noun
3146	loins	187	LOIN	noun
3147	hip, loin, thighbone	1745	HIP	noun
3148	hip, loin	1745	HIP	noun
3149	lombo			
3150	back of the body			
3151	back of body	1291	BACK	noun
3152	small of the back, loin, hips	187	LOIN	noun
3153	hips, hipbone			
3154	lower part of the trunk, genitals			
3155	transverse process of the vertebra			
3156	loins; genitals	187	LOIN	noun
3157	glans penis			
3158	crotch, groin			
3159	groin			
3160	swellings in the groin; testicles	797	TESTICLES	noun
3161	aine; racine de fémur (elder; femur root)			
3162	anus, buttocks	1935	ANUS	noun
3163	abdomen below the navel			
3164	groin; (knee)cap; pain in the groin, armpit	1886	ARMPIT	noun
3165	groin; kneecap; pain in the groin, armpit	1886	ARMPIT	noun
3166	area between the thighs, groin			
3167	loin	187	LOIN	noun
3168	loins, buttocks	834	BUTTOCKS	noun
3169	hinder part, posteriors, buttocks, rump	834	BUTTOCKS	noun
3170	lap, crotch	3263	LAP	noun
3171	lower part of the belly, the pubes	36	PUBIC HAIR	noun
3172	coccyx, backbone	805	SPINE	noun
3173	coccyx			
3174	backbone	805	SPINE	noun
3175	caudal bone of the tail			
3176	bone of the shank			
3177	back (of men and animals); loin(s), waist	1681	WAIST	noun
3178	base, foot	1301	FOOT	noun
3179	pillar	2045	COLUMN	noun
3180	buttocks; base, foundation	834	BUTTOCKS	noun
3181	buttocks, rump; bottom	834	BUTTOCKS	noun
3182	basis, bottom, posterior, anus, buttocks	834	BUTTOCKS	noun
3183	buttocks, pubic regions	834	BUTTOCKS	noun
3184	podex, anus	1935	ANUS	noun
3185	buttocks, posteriors, rump	834	BUTTOCKS	noun
3186	flesh of back above the hip			
3187	leveled ground before a house is built			
3188	backside, posterior	834	BUTTOCKS	noun
3189	genital organs, pudenda			
3190	buttocks, anus	834	BUTTOCKS	noun
3191	anus, buttocks; rear	834	BUTTOCKS	noun
3192	back, loins, space between the hips	1291	BACK	noun
3193	vulva; lower or back part	1837	VULVA	noun
3194	anus, buttocks; bottom of a thing	834	BUTTOCKS	noun
3195	kidney	489	KIDNEY	noun
3196	kidney; testicle	489	KIDNEY	noun
3197	tuft of hair			
3198	wool, fleece	964	WOOL	noun
3199	moustache	1165	MOUSTACHE	noun
3200	lock of hair			
3201	ciglia degli occhi (eye lashes)			
3202	finger	1303	FINGER	noun
3203	ŠU.TUR			
3204	certain measure of length, finger	1303	FINGER	noun
3205	Finger, Zehe	1303	FINGER	noun
3206	finger, toe	1303	FINGER	noun
3207	finger, esp. index finger	1303	FINGER	noun
3208	main	1078	MAIN	other
3209	finger; toe	1303	FINGER	noun
3210	gall, gall bladder	1780	BILE	noun
3211	gallbladder			
3212	gall	1780	BILE	noun
3213	gall, bile	1780	BILE	noun
3214	gall, bile, venom	1780	BILE	noun
3215	fiel, bile (gall, bile)	1780	BILE	noun
3216	bile	1780	BILE	noun
3217	gall, gallbladder	1780	BILE	noun
3218	bile, gall	1780	BILE	noun
3219	breast, teat, bosom, dug	1402	BREAST	noun
3220	breast, nipple, teat, bosom	1402	BREAST	noun
3221	breast, bosom, udder	1402	BREAST	noun
3222	sein (breast)			
3223	teat, nipple	796	NIPPLE	noun
3224	teat of a camel			
3225	tusk, tooth	1380	TOOTH	noun
3226	spleen	1744	SPLEEN	noun
3227	black intestine			
3228	clitoris, vagina	1836	VAGINA	noun
3229	vulva, female genitals	1837	VULVA	noun
3230	clitoris	3257	CLITORIS	noun
3231	vulva	1837	VULVA	noun
3232	behind (bottom)	1686	BEHIND	other
3233	foreskin			
3234	stud, breed animal			
3235	testicles	797	TESTICLES	noun
3236	male organ, phallus(?)			
3237	stallion, male animal used for fecundation	936	STALLION	noun
3238	the male palmtree			
3239	to be lasxivious, sexually aroused (animals)			
3240	to have intercourse			
3241	afterbirth			
3242	afterbirth, womb	804	WOMB	noun
3243	embryo			
3244	placenta, afterbirth	3388	PLACENTA	noun
3245	membrane enveloping the foetus			
3246	child, male offspring	2099	CHILD	noun
3247	thin skin, in which is the fœtus			
3248	foetus, embryo			
3249	placenta or afterbirth of livestock	3388	PLACENTA	noun
3250	foetus, embryo, conception			
3251	to be in the first stage of pregnancy			
3252	skull, head	1256	HEAD	noun
3253	crâne; tête (skull; head)	1256	HEAD	noun
3254	part of sheep's lung			
3255	ramified bloodvessel, artery; bronchiae	1925	ARTERY	noun
3256	broncus, blood vessel	525	BLOOD VESSEL	noun
3257	hip(-bone)	1745	HIP	noun
3258	rear, rear side	2134	RAISE (BRING UP)	verb
3259	after, behind	1685	AFTER	other
3260	= Sum. íb.áš			
3261	hips (?)			
3262	upper thigh; side	682	SIDE	noun
3263	haunch, thigh	471	UPPER LEG (THIGH)	noun
3264	Hüfte			
3265	haunch, upper thigh			
3266	hip, thigh	471	UPPER LEG (THIGH)	noun
3267	side, hip	1745	HIP	noun
3268	arm, foreleg of a quadruped	1673	ARM	noun
3269	the sacrup or rump of a butchered animal			
3270	foreleg of an animal			
3271	front leg of cattle, upper part of front leg of cattle			
3272	hip, hipbone and flesh	1745	HIP	noun
3273	hip	1745	HIP	noun
3274	thighbone, hip	1745	HIP	noun
3275	clitoris, female genital organ	3257	CLITORIS	noun
3276	male organ			
3277	clitoris, female genital organs	3257	CLITORIS	noun
3278	to watch, to protect	2900	PROTECT	verb
3279	to protect, defend	2900	PROTECT	verb
3280	to protect	2900	PROTECT	verb
3281	to defend	1330	DEFEND	verb
3282	to be skillful, intelligent, endowed with magical power	2530	SMART	adjective
3283	wise	698	WISE	adjective
3284	to make spells or incantations			
3285	magic spell			
3286	magic	392	MAGIC	noun
3287	magic arts			
3288	to enchant, bewitch	118	BEWITCH	verb
3289	to practice sorcery			
3290	man who has the power of casting the evil eye			
3291	to tread	575	TREAD	verb
3292	to step upon; to make compact; to let time pass			
3293	to fill up with earth; II. to press, squeeze	1414	SQUEEZE	verb
3294	to fill in			
3295	to cut, split	1432	CUT	verb
3296	to cut (down)	1432	CUT	verb
3297	to trim			
3298	to crumble in one’s hand			
3299	to dislocate, to break, to pulverize	680	BREAK (DESTROY OR GET DESTROYED)	verb
3300	to mix (wine with spices)	2017	MIX	verb
3301	to mix	2017	MIX	verb
3302	spiced drink			
3303	jug of mixed wine			
3304	to cry, to shout	1839	CRY	verb
3305	to roar	3896	ROAR	verb
3306	to bray			
3307	to utter a noise			
3308	to cause to resound			
3309	to stir, to raise	501	LIFT	verb
3310	to shake out			
3311	mischief, quarrel, revolt	1848	QUARREL	noun
3312	to be prideful			
3313	to bounce upward, rise up			
3314	to spring up			
3315	to break forth			
3316	to gush out, burst forth			
3317	to (a)rise, spring up	568	RISE (MOVE UPWARDS)	verb
3318	to go out (a partridge from its den)	1107	GO OUT	verb
3319	datesyrup			
3320	to butt, to gore	834	BUTTOCKS	noun
3321	to butt each other			
3322	to gore			
3323	temple, cheek-bone	911	TEMPLE	noun
3324	area between the jaw and the neck			
3325	to be strong, vigorous	785	STRONG	adjective
3326	to be in a good, right, proper state	1019	RIGHT	adjective
3327	conceit, vanity, arrogance; period of wealth; right, rule	1019	RIGHT	adjective
3328	young person or animal in its prime	1207	YOUNG	adjective
3329	to be old	1229	OLD	adjective
3330	old woman	907	OLD WOMAN	noun
3331	to be old, to grow old	1229	OLD	adjective
3332	grandfather, grandmother	1496	GRANDMOTHER	noun
3333	to look at	1819	LOOK	verb
3334	sign, mark	1720	SIGN	noun
3335	terebinth			
3336	to have indigestion			
3337	to glow, to burn (of intestines)	2102	BURN	verb
3338	to suffer from indigestion			
3339	to have bad breath			
3340	bad breath and indigestion			
3341	to inherit, to possess	3664	INHERIT	verb
3342	to inherit, possess	3664	INHERIT	verb
3343	to take possession of, to get; to be heir	694	GET	verb
3344	to inherit	3664	INHERIT	verb
3345	heriter (to inherit)			
3346	inheritance			
3347	inherit, confiscate	3664	INHERIT	verb
3348	to inherit from			
3349	nose, snout, muzzle, beak	1221	NOSE	noun
3350	muzzle, snout	2200	SNOUT	noun
3351	the distinctive feature of the face, nose, nostril	1221	NOSE	noun
3352	muzzle, beak	73	BEAK	noun
3353	family	194	FAMILY	noun
3354	family, offspring, descendants, clan	194	FAMILY	noun
3355	clan, family	194	FAMILY	noun
3356	extended family			
3357	to leave	1752	LEAVE	verb
3358	to remain, to be left over; to leave	1752	LEAVE	verb
3359	hill	614	HILL	noun
3360	kind of large aquatic animal			
3361	a mythical seamonster			
3362	species piscis marini, i.q. kawsay			
3363	shark	1110	SHARK	noun
3364	to turn, to twist, to surround	1588	TURN	verb
3365	to move in a circle			
3366	to twist	430	TWIST	verb
3367	to be twisted, wrapped			
3368	to walk on roundabout ways			
3369	to flex			
3370	to bend	2004	BEND	verb
3371	to eat, to taste	1336	EAT	verb
3372	to take food or drink	1401	DRINK	verb
3373	to become flourishing and fresh			
3374	ajouter (to add)			
3375	mankind, human beings, people	789	PEOPLE	noun
3376	men	1554	MAN	noun
3377	people, men	789	PEOPLE	noun
3378	to be large	1202	BIG	adjective
3379	big	1202	BIG	adjective
3380	to become numerous; to be great	1202	BIG	adjective
3381	to become big; to increase	1041	INCREASE	verb
3382	to increase, augment	1041	INCREASE	verb
3383	to be wicked, ruthless	45	EVIL	adjective
3384	to behave thoughtlessly			
3385	bad person	2197	BAD PERSON	noun
3386	to be guilty	1682	GUILTY	adjective
3387	to be evil	45	EVIL	adjective
3388	to commit a wicked deed, act wickedly			
3389	fasādu lˁayni (corruption of the eye)			
3390	to build up sticks for a fire			
3391	to build a fire to heat milkheating stones; to put milkheating stones on the fire			
3392	location that is behind, beyond; the time past			
3393	to disappear, to vanish	485	DISAPPEAR	verb
3394	(pi.) destroy	681	DESTROY	verb
3395	to be shabby (clothes), IV. to wear out (a garment)			
3396	to be consumed, to be wasted, to perish, to cease	1928	CEASE	verb
3397	to die without being slaughtered (animal)			
3398	to finish, to be finished	1766	FINISH	verb
3399	to die (animal) without having its throat cut; to be consumed			
3400	to come to an end, to be finished, to be consumed			
3401	enden (to be ended)			
3402	be finished, be ended			
3403	to make a ditch, to excavate			
3404	to dig out	1418	DIG	verb
3405	to be exact, done with care	1466	EXACT	adjective
3406	to make a mark upon the ground			
3407	to scratch	1436	SCRATCH	verb
3408	invalid, sick person			
3409	to raise	501	LIFT	verb
3410	elevation, height, lofty abode	2936	ELEVATION	noun
3411	to bear, to carry, to take up and carry	700	CARRY	verb
3412	one, someone, certain	1493	ONE	numeral
3413	one, single	1493	ONE	numeral
3414	eins, einer (one)			
3415	young camel			
3416	cow that calves for the first time			
3417	young female 2 year old camel that has not yet given birth			
3418	Kamel (camel)			
3419	camel (from six years onwards)	1871	CAMEL	noun
3420	shackle, fetter			
3421	occiput, back of the neck			
3422	part of neck			
3423	top of the head, neck	1333	NECK	noun
3424	hind part of the head with the neck; neck	1333	NECK	noun
3425	mane, feathers on the neck	1918	MANE	noun
3426	part between the hump and the neck			
3427	camel’s back and neck in front of the hump			
3428	camel's back and neck in front of the hump			
3429	lower neck			
3430	brain, marrow	1583	BRAIN	noun
3431	top of the head; brain, marrow	1583	BRAIN	noun
3432	top of the head, brain	1583	BRAIN	noun
3433	bonemarrow			
3434	skull, brain	1583	BRAIN	noun
3435	marrow, brain, head	1256	HEAD	noun
3436	skull; marrow, brain	1583	BRAIN	noun
3437	brain, head	1256	HEAD	noun
3438	brain	1583	BRAIN	noun
3439	brain (of the horse); membrane that surrounds the brain	1583	BRAIN	noun
3440	to be warm, hot	1286	HOT	adjective
3441	inflammation			
3442	be inflamed, heat	612	HEAT	noun
3443	to warm, be warmed; (pa.) to warm, heat	612	HEAT	noun
3444	to warm	1232	WARM	adjective
3445	I. warm, heiß werden (to warm, to become warm)			
3446	warm (warm)	1232	WARM	adjective
3447	a kind of mushroom			
3448	truffle			
3449	(a metal object probably in form of a mushroom)			
3450	barley	932	BARLEY	noun
3451	early rain			
3452	heaven, sky	1732	SKY	noun
3453	eyeball	3807	EYEBALL	noun
3454	pupil (of the eye)	753	PUPIL (STUDENT)	noun
3455	pupil; eye	1248	EYE	noun
3456	aperture of the ear, ear; (faculty of) hearing	1247	EAR	noun
3457	intellegence			
3458	cartilages forming the ear			
3459	the cartilages forming the ear			
3460	the system of cartilages of the ear, helix and antihelix			
3461	cartilage			
3462	both arteries behind the ears			
3463	to skim off			
3464	skim on boiled milk			
3465	to carry away			
3466	nostril	1178	NOSTRIL	noun
3467	nostrils	1178	NOSTRIL	noun
3468	Nase (nose)			
3469	fore part of the nose			
3470	lip	478	LIP	noun
3471	Sum. SAG.DAR			
3472	lip, border, bank	478	LIP	noun
3473	lip, edge	478	LIP	noun
3474	lip, shore, bank	478	LIP	noun
3475	Lippe			
3476	Lippe (lip)			
3477	promise; vow; instruction, order	1675	PROMISE	verb
3478	to promise	1675	PROMISE	verb
3479	mouth (of animals)	674	MOUTH	noun
3480	labbro (lip)			
3481	lips, muzzle, snout	478	LIP	noun
3482	lip; tip of the nose	478	LIP	noun
3483	lip, language, brim, edge, hem	478	LIP	noun
3484	cheek, jaw	1730	CHEEK	noun
3485	jaw	798	JAW	noun
3486	cheek; side	1730	CHEEK	noun
3487	cheek	1730	CHEEK	noun
3488	chin, jawbone, cheek	1510	CHIN	noun
3489	jaw, jawbone, jowl	798	JAW	noun
3490	beard	678	BEARD	noun
3491	jaw, molar tooth	798	JAW	noun
3492	temple (tempia)	911	TEMPLE	noun
3493	beard, chin	678	BEARD	noun
3494	piglet	2564	PIGLET	noun
3495	young pig			
3496	little pig			
3497	gum	139	GUMS	noun
3498	toothless mouth, gum	139	GUMS	noun
3499	gums	139	GUMS	noun
3500	sockets of teeth			
3501	toothless			
3502	part of the gum where teeth grow			
3503	to grow toothless			
3504	to cut teeth			
3505	kind of small mammal			
3506	mongoose	3677	MONGOOSE	noun
3507	upper lip			
3508	sharp tooth			
3509	tusks, canine teeth; the sinews connecting the hipbone with its socket	2495	ELEPHANT TUSK	noun
3510	maxillary tooth			
3511	canine teeth			
3512	tooth; canine tooth; milkteeth; incisors (of grown up people)	1380	TOOTH	noun
3513	loosely hanging and unplaited hair on the head			
3514	to disarrange, tear off			
3515	to uncover (head); to untie (hair)	352	UNTIE	verb
3516	(coll.) hair	1040	HAIR	noun
3517	chevelure (hair)			
3518	to protect palm saplings with dry palm leaves			
3519	dry palm leaf			
3520	(stiff) hair	1040	HAIR	noun
3521	stiff, wiry (?) hair			
3522	having wiry (?) hair			
3523	neck and jaw hair			
3524	hair, hair of the neck, back of the head and jaw; hair on the thighs (of women)	1040	HAIR	noun
3525	wispy hair on the thighs and forehead (of women)			
3526	forelock, hair on the forehead (of a lion)			
3527	SU₆.DÙ			
3528	side whiskers and (pointed) beard			
3529	Bart (beard)			
3530	extremely aged man			
3531	beard; chin	678	BEARD	noun
3532	palm	1183	PALM OF HAND	noun
3533	arm, hand	2121	ARM OR HAND	noun
3534	the hollow, the flat of the hand	3701	HOLLOW	adjective
3535	palm, hand	1277	HAND	noun
3536	hand, palm of hand, handful	1277	HAND	noun
3537	palm of hand	1183	PALM OF HAND	noun
3538	heel, palm of hand, sole of foot	980	HEEL	noun
3539	hand, claw, paw; handful	1277	HAND	noun
3540	ŠU.ŠÀ			
3541	ŠU.SAL			
3542	palm of the hand	1183	PALM OF HAND	noun
3543	winnowing shovel			
3544	palm of the hand, sole of foot	2666	SOLE (FOOT)	noun
3545	hollow of the hand			
3546	the hollow of both hands			
3547	certain measure of capacity			
3548	handful, fistful			
3549	hollow of the palm, handful			
3550	hollow, cavity, trench	3701	HOLLOW	adjective
3551	container or unit of measure; ḥfn (01) '(mit beiden Händen) darreichen' (Stein 2010:724)	1465	BOX	noun
3552	both hands full			
3553	quantity of cereals etc. that goes into both open hands			
3554	fistful			
3555	contents of both hands with palms up			
3556	amount held in cupped hands			
3557	thumb	1781	THUMB	noun
3558	ŠU.DAGAL.GAL			
3559	thumb, big toe	1781	THUMB	noun
3560	thumb, toe	1389	TOE	noun
3561	little finger	2774	LITTLE FINGER	noun
3562	lobe of the liver			
3563	a little finger	2774	LITTLE FINGER	noun
3564	arm, elbow	1673	ARM	noun
3565	arm, foreleg	1673	ARM	noun
3566	arm	1673	ARM	noun
3567	arm; forequarter; side brace; elbow	1673	ARM	noun
3568	Arm	1673	ARM	noun
3569	arm, shoulder	1673	ARM	noun
3570	arm, yard	1673	ARM	noun
3571	sternum or part of the ribs	2810	BREASTBONE	noun
3572	shoulder, upper arm	1482	SHOULDER	noun
3573	shoulder, arm	1673	ARM	noun
3574	Schulter (shoulder)			
3575	shoulderblade, shoulder	1482	SHOULDER	noun
3576	shoulder, shoulder blade	1482	SHOULDER	noun
3577	top of the back, back of shoulder			
3578	back of shoulder			
3579	trace, foot	1301	FOOT	noun
3580	trace, track(s)	318	FOOTPRINT	noun
3581	trace, track, foot under the ankle	318	FOOTPRINT	noun
3582	trace; foot	1301	FOOT	noun
3583	Achilles’ tendon			
3584	hough, ham, the inner part of the knee, the inner angle of the joint which unites the thigh and the leg of an animal			
3585	knee, heel, Achilles tendon	1371	KNEE	noun
3586	jarret			
3587	heel (of men), foot	1301	FOOT	noun
3588	leg, shin	1297	LEG	noun
3589	lap, thigh	471	UPPER LEG (THIGH)	noun
3590	thigh, fibula; shank of an animal	471	UPPER LEG (THIGH)	noun
3591	Schenkel			
3592	foreleg			
3593	limb, leg, shin	1297	LEG	noun
3594	Bein, Unterschenkel, Fuss (leg, lower leg, foot)	447	LOWER LEG	noun
3595	shank; leg	1297	LEG	noun
3596	hip, hipbone, thigh, thighbone, flesh of thigh, shoulder blade	471	UPPER LEG (THIGH)	noun
3597	forearm; lower part of the leg	446	LOWER ARM	noun
3598	etlock joint, tarsus			
3599	fetlock, lower leg	447	LOWER LEG	noun
3600	articulus			
3601	(in k. anpia) nasal bone			
3602	carpal end of the ulna, carpal bone, wrist bone			
3603	ankle	803	ANKLE	noun
3604	ankle bone			
3605	ankles			
3606	ankle, bending leg	803	ANKLE	noun
3607	ankle bone; wrist	799	WRIST	noun
3608	anklebone (of men), fetlock (of animals)			
3609	kneecap			
3610	thigh, haunch	471	UPPER LEG (THIGH)	noun
3611	tribal union			
3612	testiculi			
3613	thigh, buttocks	471	UPPER LEG (THIGH)	noun
3614	thigh; the smallest subdivision of a tribe	471	UPPER LEG (THIGH)	noun
3615	clan, family, subtribe	194	FAMILY	noun
3616	flesh and bone of upper leg from knee to hip			
3617	wing; quill, plumage, frond	1257	WING	noun
3618	wing; side, arm	1257	WING	noun
3619	wing; fin (of fish); branch of tree; border (of garment, land)	1257	WING	noun
3620	stomach (of animals)	819	STOMACH	noun
3621	part of the animal stomach			
3622	abomasum, stomach	819	STOMACH	noun
3623	maw			
3624	a stuffed goat's stomach			
3625	hernia			
3626	knee and shin-bone; lower leg (of animal)	447	LOWER LEG	noun
3627	shin (of animals)	186	SHIN	noun
3628	jarrete, artejo			
3629	lower leg, fibula	447	LOWER LEG	noun
